Imge,Selling_Price,Compny,RAM_GB,RAM_Type,Screen_Size_Inch,Windows,Series,MS_Office,Original_Price,Discount_Percent,Processor,Processor_Tier,Generation,Storage_GB,Storage_Type
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/e/w/-original-imahg5fuexxbwgvv.jpeg?q=70,46990,DELL,16,DDR4,15,11,Series_15,True,54479,13,Intel,i3,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/c/7/-original-imahg5fvu6dzuxgf.jpeg?q=70,54990,DELL,8,DDR4,15,11,Inspiron,True,63416,13,Intel,i5,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/e/d/-original-imahg5fx6vyugqzh.jpeg?q=70,70990,DELL,16,DDR5,14,11,Inspiron,True,85574,17,Intel,i5,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/z/y/n/-original-imahj7yfhp8hgvvs.jpeg?q=70,57990,ASUS,16,DDR5,15,11,ExpertBook,False,89990,35,Intel,Core_5,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/i/d/-original-imah8fzgxzjamzju.jpeg?q=70,39990,ASUS,8,DDR5,15,11,Vivobook,True,50990,21,Intel,i3,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/w/5/-original-imahmp2zyeagkgze.jpeg?q=70,69990,DELL,8,DDR5,14,11,Series_15,False,7551,47,Intel,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/y/i/-original-imahfnyvfz7zdkh8.jpeg?q=70,39990,ASUS,8,DDR4,15,11,Vivobook,True,50990,21,Intel,i3,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/y/3/-original-imahfcztmzr9wkhd.jpeg?q=70,49699,ASUS,16,DDR4,15,11,Vivobook,True,56990,12,Intel,i3,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/m/1/8/-original-imahmd8nvrtardw6.jpeg?q=70,69990,ASUS,16,DDR4,15,11,Vivobook,False,7391,15,Intel,i7,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/k/g/-original-imahg5fyefftefqt.jpeg?q=70,39990,DELL,16,DDR4,15,11,Series_15,True,54990,27,Intel,i3,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/2/0/db04250-2-in-1-laptop-dell-original-imahffy8ysvnk5ga.jpeg?q=70,72490,DELL,8,DDR5,14,11,Inspiron,True,7886,8,Intel,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/o/g/-original-imahfwz9pgnejufa.jpeg?q=70,99990,DELL,16,DDR5,15,11,Series_15,False,111258,10,Intel,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/i/b/-original-imahgx8ws7ypyhmd.jpeg?q=70,46990,ASUS,16,DDR4,15,11,Expertbook,False,54479,13,Intel,i3,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/3/7/q/-original-imahehnhwehhffc4.jpeg?q=70,46990,HP,8,DDR5,15,11,Victus,False,69990,32,Intel,i3,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/9/6/-original-imahgx8wp3ahhucy.jpeg?q=70,83490,ASUS,16,DDR5,14,11,Vivobook,False,107083,22,AMD,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/w/k/-original-imahgfdfntwwxbqn.jpeg?q=70,112800,ASUS,24,DDR5,15,11,Vivobook,True,12092,86,AMD,Ryzen_7,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/z/b/u/-original-imahfr9jgjzwgkcn.jpeg?q=70,72490,DELL,16,DDR5,14,11,Series_14,True,92833,21,AMD,Ryzen_5,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/h/g/-original-imahg5fuxuw5afvh.jpeg?q=70,128990,DELL,16,DDR5,15,11,Series_14,True,151875,15,Intel,Core_7,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/r/7/-original-imagpxgqbu5hmwzs.jpeg?q=70,39990,Lenovo,8,DDR4,15,11,100e,False,50990,21,Intel,i3,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/g/4/-original-imahgfdyf6grkw9r.jpeg?q=70,96074,Acer,16,DDR5,15,11,Aspire,False,100529,18,AMD,Ryzen_3,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/6/p/-original-imah3yhqcgjtxfhw.jpeg?q=70,14990,DELL,4,DDR4,11,11,Series_14,True,1629,88,MediaTek,Ultra,12,384,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/s/x/-original-imahg5ftu2dzvyu8.jpeg?q=70,39990,DELL,12,DDR4,15,11,Alienware,True,46990,14,Intel,Ultra,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/t/i/8/-original-imahfskhzaahq9es.jpeg?q=70,40500,Acer,8,DDR4,11,11,Aspire,False,4499,99,Intel,Ultra,12,256,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/6/r/-original-imahg53uvtcffmvf.jpeg?q=70,24990,Primebook,8,DDR4,14,11,Series_2,False,29990,16,MediaTek,Ultra,12,460,SSD
https://rukminim2.flixcart.com/image/300/300/xif0q/computer/z/y/n/-original-imahj7yfhp8hgvvs.jpeg?q=90,46990,DELL,16,DDR4,15,11,Series_15,True,54479,13,Intel,i3,13,512,SSD
https://rukminim2.flixcart.com/image/300/300/xif0q/computer/d/6/p/-original-imah3yhqcgjtxfhw.jpeg?q=90,58938,Acer,16,DDR5,15,11,Aspire,False,6127,73,Intel,i5,12,512,SSD
https://rukminim2.flixcart.com/image/300/300/xif0q/computer/a/e/w/-original-imahg5fuexxbwgvv.jpeg?q=90,70990,DELL,16,DDR5,14,11,Inspiron,True,85574,17,Intel,i5,13,512,SSD
https://rukminim2.flixcart.com/image/300/300/xif0q/computer/b/c/7/-original-imahg5fvu6dzuxgf.jpeg?q=90,54990,DELL,8,DDR4,15,11,Inspiron,True,63416,13,Intel,i5,13,512,SSD
https://rukminim2.flixcart.com/image/300/300/xif0q/computer/c/r/7/-original-imagpxgqbu5hmwzs.jpeg?q=90,64990,HP,16,DDR5,14,11,Pavilion,False,92746,29,Intel,i5,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/i/b/-original-imahgx8ws7ypyhmd.jpeg?q=70,60990,Samsung,16,DDR4,15,11,Galaxy,False,82789,26,Intel,i5,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/a/o/-original-imah7tknwg7brmfv.jpeg?q=70,69990,DELL,8,DDR5,14,11,Series_15,False,7551,47,Intel,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/c/7/-original-imahg5fvu6dzuxgf.jpeg?q=70,69990,DELL,16,DDR4,15,11,Inspiron,True,7391,15,Intel,i7,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/e/w/-original-imahg5fuexxbwgvv.jpeg?q=70,29990,Acer,8,DDR4,11,11,Aspire,False,3299,9,Intel,Ultra,12,128,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/g/5/y/-original-imahknx3gecq8dv8.jpeg?q=70,65900,HP,16,DDR4,15,11,Series_15,False,85000,22,Intel,Core_5,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/t/y/-original-imahg53xspmfrsdd.jpeg?q=70,72490,DELL,8,DDR5,14,11,Series_15,False,7886,8,Intel,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/w/5/-original-imahmp2zyeagkgze.jpeg?q=70,43990,ASUS,8,DDR5,15,11,Vivobook,True,48990,10,AMD,Ryzen_5,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/e/d/-original-imahg5fx6vyugqzh.jpeg?q=70,99990,DELL,16,DDR5,15,11,Series_14,True,111258,10,Intel,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/s/x/-original-imahg5ftu2dzvyu8.jpeg?q=70,83490,DELL,16,DDR5,14,11,Series_14,True,107083,22,AMD,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/z/p/g/-original-imahhswhheghr4db.jpeg?q=70,24699,Ultimus,8,DDR4,14,11,APEX,False,39990,38,Intel,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/m/1/8/-original-imahmd8nvrtardw6.jpeg?q=70,72990,HP,16,DDR4,15,11,Intel,False,7750,75,Intel,i7,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/j/5/-original-imagnzg2rwxffejh.jpeg?q=70,72490,DELL,16,DDR5,14,11,Series_14,True,92833,21,AMD,Ryzen_5,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/2/0/db04250-2-in-1-laptop-dell-original-imahffy8ysvnk5ga.jpeg?q=70,128990,DELL,16,DDR5,15,11,Alienware,True,151875,15,Intel,Core_7,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/o/g/-original-imahfwz9pgnejufa.jpeg?q=70,37990,MSI,16,DDR4,14,11,Modern,False,58990,35,Intel,i3,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/t/q/a/-original-imahdwj9e5kfcz9q.jpeg?q=70,50190,HP,8,DDR4,15,11,Series_15,False,60990,17,Intel,Core_3,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/y/x/-original-imahgx8weecatg2f.jpeg?q=70,42990,Acer,8,DDR4,11,11,Aspire,False,4450,3,Intel,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/9/6/-original-imahgx8wp3ahhucy.jpeg?q=70,28490,Primebook,8,DDR4,15,11,Series_2,False,34990,18,MediaTek,Ultra,12,460,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/z/b/u/-original-imahfr9jgjzwgkcn.jpeg?q=70,48990,Acer,16,DDR4,14,11,TravelLite,False,60990,19,AMD,Ryzen_5,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/8/y/j/-original-imahdabdfugjhakt.jpeg?q=70,15905,Ultimus,4,DDR4,14,11,Pro,False,27990,43,Intel,Ultra,12,435,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/w/o/-original-imahkjjf47u9vgs7.jpeg?q=70,39990,Acer,8,DDR4,15,11,Aspire,False,4199,4,Intel,i3,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/s/x/-original-imahg5ftu2dzvyu8.jpeg?q=70,49990,HP,16,DDR5,15,11,15s,False,5332,76,AMD,Ryzen_7,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/x/n/-original-imahfskhwd2rvnuh.jpeg?q=70,46990,DELL,16,DDR4,15,11,Series_15,True,54479,13,Intel,i3,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/p/d/-original-imahhcaqy5uq5fkc.jpeg?q=70,70990,DELL,16,DDR5,14,11,Inspiron,True,85574,17,Intel,i5,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/9/u/w/-original-imahf69hwz6gnedj.jpeg?q=70,71990,ASUS,12,DDR4,15,11,TUF,False,83990,14,Intel,i5,13,512,SSD
https://rukminim2.flixcart.com/image/300/300/xif0q/computer/b/c/7/-original-imahg5fvu6dzuxgf.jpeg?q=90,57990,HP,8,DDR4,14,11,Intel,False,68417,15,Intel,i5,12,512,SSD
https://rukminim2.flixcart.com/image/300/300/xif0q/computer/a/e/w/-original-imahg5fuexxbwgvv.jpeg?q=90,54990,DELL,8,DDR4,15,11,Inspiron,True,63416,13,Intel,i5,13,512,SSD
https://rukminim2.flixcart.com/image/300/300/xif0q/computer/9/u/w/-original-imahf69hwz6gnedj.jpeg?q=90,35999,Ultimus,8,DDR4,14,11,APEX,False,53999,33,Intel,i3,13,512,SSD
https://rukminim2.flixcart.com/image/300/300/xif0q/computer/g/5/y/-original-imahknx3gecq8dv8.jpeg?q=90,69990,DELL,8,DDR5,14,11,Series_15,False,7551,47,Intel,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/300/300/xif0q/computer/y/y/x/-original-imahgx8weecatg2f.jpeg?q=90,69990,DELL,16,DDR4,15,11,Inspiron,True,7391,15,Intel,i7,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/6/p/-original-imah3yhqcgjtxfhw.jpeg?q=70,30990,Acer,16,DDR4,15,11,Aspire,False,49999,38,Intel,i5,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/g/4/-original-imahjyg5mqgsr9dv.jpeg?q=70,62900,HP,16,DDR5,14,11,Series_15,False,6538,73,Intel,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/c/7/-original-imahg5fvu6dzuxgf.jpeg?q=70,72490,DELL,8,DDR5,14,11,Series_15,False,7886,8,Intel,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/e/w/-original-imahg5fuexxbwgvv.jpeg?q=70,99990,DELL,16,DDR5,15,11,Series_14,True,111258,10,Intel,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/t/y/-original-imahgfdfmfhfsqy8.jpeg?q=70,68990,MOTOROLA,16,DDR4,14,11,Motobook,False,110490,37,Intel,i3,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/b/b/-original-imahgx8wueq7t5ua.jpeg?q=70,44990,Acer,32,DDR5,15,11,Aspire,False,449,99,Intel,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/w/5/-original-imahmp2zyeagkgze.jpeg?q=70,83490,DELL,16,DDR5,14,11,Series_14,True,107083,22,AMD,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/p/w/-original-imahg5fxzmyzbkv8.jpeg?q=70,116992,Lenovo,8,DDR5,14,11,Yoga,False,158090,25,AMD,Ryzen_3,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/e/d/-original-imahg5fx6vyugqzh.jpeg?q=70,72490,DELL,16,DDR5,14,11,Series_14,True,92833,21,AMD,Ryzen_5,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/m/1/8/-original-imahmd8nvrtardw6.jpeg?q=70,128990,DELL,16,DDR5,15,11,Alienware,True,151875,15,Intel,Core_7,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/t/v/8/-original-imahg5fxfpvjasap.jpeg?q=70,96074,ASUS,16,DDR5,15,11,Vivobook,True,100529,18,Intel,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/1/z/-original-imahhbyxpgxgffan.jpeg?q=70,87990,Samsung,8,DDR4,15,11,Galaxy,False,109990,20,Intel,i3,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/2/0/db04250-2-in-1-laptop-dell-original-imahffy8ysvnk5ga.jpeg?q=70,49990,Samsung,8,DDR4,14,11,Galaxy,False,57499,13,AMD,Ryzen_5,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/o/g/-original-imahfwz9pgnejufa.jpeg?q=70,44990,Acer,16,DDR4,15,11,TravelLite,False,52999,15,Intel,i5,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/p/w/-original-imahg5fxzmyzbkv8.jpeg?q=70,99990,Lenovo,16,DDR5,15,11,LOQ,False,10999,9,Intel,i7,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/i/z/-original-imahm583cqgzbrhq.jpeg?q=70,58990,Acer,16,DDR5,14,11,Swift,True,99999,41,Intel,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/9/6/-original-imahgx8wp3ahhucy.jpeg?q=70,46990,DELL,16,DDR4,15,11,Series_15,True,54479,13,Intel,i3,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/9/6/-original-imagpxgq3wcnwpwv.jpeg?q=70,67990,HP,16,DDR5,15,11,Victus,False,7402,48,AMD,Ryzen_7,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/z/b/u/-original-imahfr9jgjzwgkcn.jpeg?q=70,70990,DELL,16,DDR5,14,11,Inspiron,True,85574,17,Intel,i5,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/n/q/-original-imahgwkqrdsdqfqz.jpeg?q=70,54990,DELL,8,DDR4,15,11,Inspiron,True,63416,13,Intel,i5,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/k/o/-original-imahg53xmzmtsynn.jpeg?q=70,41490,Acer,8,DDR4,15,11,Aspire,False,4499,7,AMD,Ryzen_3,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/p/d/-original-imahhcaqy5uq5fkc.jpeg?q=70,15490,Primebook,6,DDR4,11,11,Series_2,False,24990,38,MediaTek,Ultra,12,460,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/s/z/b/-original-imahk74u56nn2f8r.jpeg?q=70,69990,DELL,8,DDR5,14,11,Series_15,False,7551,47,Intel,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/c/z/-original-imahg5fusry5atvm.jpeg?q=70,69990,DELL,16,DDR4,15,11,Inspiron,True,7391,15,Intel,i7,13,512,SSD
https://rukminim2.flixcart.com/image/300/300/xif0q/computer/p/c/z/-original-imahg5fusry5atvm.jpeg?q=90,39990,ASUS,8,DDR4,15,11,Vivobook,False,69990,42,Intel,i5,12,512,SSD
https://rukminim2.flixcart.com/image/300/300/xif0q/computer/h/g/4/-original-imahjyg5mqgsr9dv.jpeg?q=90,79490,DELL,16,DDR5,16,11,Inspiron,False,101613,21,Intel,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/300/300/xif0q/computer/b/c/7/-original-imahg5fvu6dzuxgf.jpeg?q=90,72490,DELL,8,DDR5,14,11,Series_15,False,7886,8,Intel,Ultra,12,512,SSD
